gene_id	plasmid	chromosome	total	proportion	plasmid homogeneity	serovar homogeneity	plasmid entropy	serovar entropy	human proportion	accession	description	drug_class
aadA31	5	1	6	0.833333333	0.68	0.222222222	0.500402424	1.560710409	0.833333333	NG_057462.1	STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA31	aminoglycoside
aadA11	5	0	5	1	0.44	0.44	0.950270539	0.950270539	0.8	NG_047330.1	STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11	aminoglycoside
blaCMY-153	4	1	5	0.8	0.375	0.2	1.039720771	1.609437912	0.2	NG_054964.1	CEPHALOSPORIN class C beta-lactamase CMY-153	beta-lactam
oqxA6	3	2	5	0.6	0.555555556	0.28	0.636514168	1.33217904	0.4	NG_050424.1	PHENICOL;QUINOLONE multidrug efflux RND transporter periplasmic adaptor subunit OqxA6	phenicol
oqxB12	3	2	5	0.6	0.555555556	0.28	0.636514168	1.33217904	0.4	NG_050430.1	PHENICOL;QUINOLONE multidrug efflux RND transporter permease subunit OqxB12	phenicol
qnrB77	2	3	5	0.4	0.5	0.2	0.693147181	1.609437912	0	NG_051321.1	QUINOLONE quinolone resistance pentapeptide repeat protein QnrB77	quinolone
blaTEM-219	4	0	4	1	0.375	0.375	1.039720771	1.039720771	1	NG_050251.1	BETA-LACTAM class A beta-lactamase TEM-219	beta-lactam
blaNDM-1	4	0	4	1	1	0.625	0	0.562335145	0.75	NG_049326.1	CARBAPENEM subclass B1 metallo-beta-lactamase NDM-1	beta-lactam
blaCTX-M-115	4	0	4	1	1	1	0	0	0.75	NG_048910.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-115	beta-lactam
blaCTX-M-27	4	0	4	1	0.375	0.25	1.039720771	1.386294361	0.5	NG_048976.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-27	beta-lactam
blaSHV-105	4	0	4	1	1	0.25	0	1.386294361	1	NG_049995.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase SHV-105	beta-lactam
mcr-3.2	4	0	4	1	1	1	0	0	1	NG_055523.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-3.2	colistin
mcr-3.20	4	0	4	1	0.375	1	1.039720771	0	0.5	NG_055493.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-3.20	colistin
aac(6')-Ib-cr5	3	1	4	0.75	0.333333333	0.375	1.098612289	1.039720771	0.25	NG_051711.1	AMIKACIN;KANAMYCIN;QUINOLONE;TOBRAMYCIN fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5	aminoglycoside
mcr-5.1	3	1	4	0.75	0.555555556	0.375	0.636514168	1.039720771	0.25	NG_055658.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-5.1	colistin
dfrA21	3	1	4	0.75	0.555555556	0.25	0.636514168	1.386294361	0.75	NG_047715.1	TRIMETHOPRIM trimethoprim-resistant dihydrofolate reductase DfrA21	trimethoprim
rmtB1	2	2	4	0.5	0.5	0.25	0.693147181	1.386294361	0.25	NG_048058.1	AMINOGLYCOSIDE 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtB1	aminoglycoside
blaTEM-154	2	2	4	0.5	1	1	0	0	0	NG_050198.1	CEPHALOSPORIN inhibitor-resistant class A extended-spectrum beta-lactamase TEM-154	beta-lactam
ere(D)	0	4	4	0	-1	0.5	-1	0.693147181	0.75	NG_047771.1	ERYTHROMYCIN EreD family erythromycin esterase	macrolide
erm(F)	0	4	4	0	-1	0.5	-1	0.693147181	0.75	NG_047824.1	MACROLIDE 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)	macrolide
tet(32)	0	4	4	0	-1	0.375	-1	1.039720771	0.5	NG_048124.1	TETRACYCLINE tetracycline resistance ribosomal protection protein Tet(32)	tetracycline
aac(6')-Ib11	3	0	3	1	1	1	0	0	0.666666667	NG_048578.1	AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN aminoglycoside N-acetyltransferase AAC(6')-Ib11	aminoglycoside
aac(6')-33	3	0	3	1	1	1	0	0	0.333333333	NG_047267.1	AMINOGLYCOSIDE aminoglycoside 6'-N-acetyltransferase AAC(6')-33	aminoglycoside
aac(6')-IIa	3	0	3	1	0.555555556	0.555555556	0.636514168	0.636514168	0.333333333	NG_047270.1	GENTAMICIN;KANAMYCIN;TOBRAMYCIN aminoglycoside N-acetyltransferase AAC(6')-IIa	aminoglycoside
aadA15	3	0	3	1	0.555555556	0.333333333	0.636514168	1.098612289	0.333333333	NG_047338.1	STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA15	aminoglycoside
ble-MBL	3	0	3	1	1	1	0	0	0.666666667	NG_047559.1	BLEOMYCIN bleomycin binding protein Ble-MBL	belomycin
blaACC-1	3	0	3	1	0.555555556	0.555555556	0.636514168	0.636514168	0	NG_048588.1	CEPHALOSPORIN cephalosporin-hydrolyzing class C beta-lactamase ACC-1	beta-lactam
blaCTX-M-8	3	0	3	1	0.333333333	0.333333333	1.098612289	1.098612289	0.333333333	NG_049032.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-8	beta-lactam
blaTEM-106	3	0	3	1	1	0.555555556	0	0.636514168	0	NG_050151.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase TEM-106	beta-lactam
mcr-4.6	3	0	3	1	1	0.555555556	0	0.636514168	0	NG_061608.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-4.6	colistin
fosA6	3	0	3	1	0.555555556	0.333333333	0.636514168	1.098612289	1	NG_051497.1	FOSFOMYCIN fosfomycin resistance glutathione transferase FosA6	fosfomycin
dfrB3	3	0	3	1	1	0.555555556	0	0.636514168	0	NG_047747.1	TRIMETHOPRIM trimethoprim-resistant dihydrofolate reductase DfrB3	trimethoprim
blaSHV-5	2	1	3	0.666666667	0.5	0.555555556	0.693147181	0.636514168	0.333333333	NG_050087.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase SHV-5	beta-lactam
blaCMY-165	2	1	3	0.666666667	0.5	0.333333333	0.693147181	1.098612289	0	NG_065862.1	CEPHALOSPORIN class C beta-lactamase CMY-165	beta-lactam
oqxA2	2	1	3	0.666666667	0.5	0.555555556	0.693147181	0.636514168	1	NG_050420.1	PHENICOL;QUINOLONE multidrug efflux RND transporter periplasmic adaptor subunit OqxA2	phenicol
mcr-3.21	1	2	3	0.333333333	1	1	0	0	0	NG_065453.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-3.21	colistin
cfxA_gen	0	3	3	0	-1	0.333333333	-1	1.098612289	1	NG_047634.1	BETA-LACTAM CfxA family class A broad-spectrum beta-lactamase	beta-lactam
blaTEM-166	0	3	3	0	-1	1	-1	0	1	NG_050209.1	BETA-LACTAM class A beta-lactamase TEM-166	beta-lactam
blaEC-5	0	3	3	0	-1	0.333333333	-1	1.098612289	1	NG_049085.1	CEPHALOSPORIN cephalosporin-hydrolyzing class C beta-lactamase EC-5	beta-lactam
qnrVC4	0	3	3	0	-1	0.555555556	-1	0.636514168	0.666666667	NG_050553.1	QUINOLONE quinolone resistance pentapeptide repeat protein QnrVC4	quinolone
tet(W)	0	3	3	0	-1	0.555555556	-1	0.636514168	1	NG_048285.1	TETRACYCLINE tetracycline resistance ribosomal protection protein Tet(W)	tetracycline
aph(2'')-IIa	2	0	2	1	1	1	0	0	0.5	NG_047402.1	AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN aminoglycoside O-phosphotransferase APH(2'')-IIa	aminoglycoside
aac(6')-Ib-cr4	2	0	2	1	1	0.5	0	0.693147181	0	NG_052463.1	AMIKACIN;KANAMYCIN;QUINOLONE;TOBRAMYCIN fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr4	aminoglycoside
aac(6')-Im	2	0	2	1	1	1	0	0	0.5	NG_052222.1	AMINOGLYCOSIDE aminoglycoside N-acetyltransferase AAC(6')-Im	aminoglycoside
aadA8	2	0	2	1	0.5	0.5	0.693147181	0.693147181	0.5	NG_047367.1	STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA8	aminoglycoside
blaTEM-210	2	0	2	1	1	0.5	0	0.693147181	1	NG_050243.1	BETA-LACTAM class A beta-lactamase TEM-210	beta-lactam
blaVIM-1	2	0	2	1	1	1	0	0	0	NG_050336.1	CARBAPENEM subclass B1 metallo-beta-lactamase VIM-1	beta-lactam
blaCTX-M-123	2	0	2	1	1	0.5	0	0.693147181	1	NG_048916.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-123	beta-lactam
blaSHV-2	2	0	2	1	1	1	0	0	0.5	NG_050060.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase SHV-2	beta-lactam
mcr-1.2	2	0	2	1	0.5	0.5	0.693147181	0.693147181	0.5	NG_051170.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-1.2	colistin
mcr-3.11	2	0	2	1	1	1	0	0	0.5	NG_056184.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-3.11	colistin
mcr-4.2	2	0	2	1	1	0.5	0	0.693147181	0	NG_057471.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-4.2	colistin
mef(C)	2	0	2	1	0.5	1	0.693147181	0	0.5	NG_047979.1	MACROLIDE macrolide efflux MFS transporter Mef(C)	macrolide
mph(G)	2	0	2	1	0.5	1	0.693147181	0	0.5	NG_047998.1	MACROLIDE Mph(G) family macrolide 2'-phosphotransferase	macrolide
dfr7	2	0	2	1	0.5	0.5	0.693147181	0.693147181	0.5	NG_047674.1	TRIMETHOPRIM trimethoprim-resistant dihydrofolate reductase Dfr7	trimethoprim
dfrB5	2	0	2	1	0.5	0.5	0.693147181	0.693147181	0	NG_047758.1	TRIMETHOPRIM trimethoprim-resistant dihydrofolate reductase DfrB5	trimethoprim
aac(3)-I	1	1	2	0.5	1	0.5	0	0.693147181	1	NG_047237.1	GENTAMICIN AAC(3)-I family aminoglycoside 3-N-acetyltransferase	aminoglycoside
blaTEM-171	1	1	2	0.5	1	0.5	0	0.693147181	1	NG_050214.1	BETA-LACTAM class A beta-lactamase TEM-171	beta-lactam
blaTEM-181	1	1	2	0.5	1	1	0	0	1	NG_050218.1	BETA-LACTAM class A beta-lactamase TEM-181	beta-lactam
blaFOX-5	1	1	2	0.5	1	0.5	0	0.693147181	0.5	NG_049105.1	CEPHALOSPORIN cephalosporin-hydrolyzing class C beta-lactamase FOX-5	beta-lactam
blaVEB-8	1	1	2	0.5	1	1	0	0	1	NG_050332.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase VEB-8	beta-lactam
mcr-3.24	0	2	2	0	-1	1	-1	0	0.5	NG_060580.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-3.24	colistin
dfrA36	0	2	2	0	-1	1	-1	0	1	NG_065842.1	TRIMETHOPRIM trimethoprim-resistant dihydrofolate reductase DfrA36	trimethoprim
aph(3')-IIIa	1	0	1	1	1	1	0	0	1	NG_047421.1	AMIKACIN;KANAMYCIN aminoglycoside O-phosphotransferase APH(3')-IIIa	aminoglycoside
aph(3')-VI	1	0	1	1	1	1	0	0	1	NG_051730.1	AMIKACIN;KANAMYCIN APH(3')-VI family aminoglycoside O-phosphotransferase	aminoglycoside
aacA56	1	0	1	1	1	1	0	0	0	NG_051492.1	AMINOGLYCOSIDE AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA56	aminoglycoside
aacA57-2	1	0	1	1	1	1	0	0	1	NG_052083.1	AMINOGLYCOSIDE aminoglycoside N-acetyltransferase AAC(6')-Ian	aminoglycoside
ant(3'')-Ia	1	0	1	1	1	1	0	0	1	NG_052306.1	SPECTINOMYCIN;STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA	aminoglycoside
blaTEM-225	1	0	1	1	1	1	0	0	0	NG_052651.1	BETA-LACTAM class A beta-lactamase TEM-225	beta-lactam
blaSHV-1	1	0	1	1	1	1	0	0	1	NG_049989.1	BETA-LACTAM class A broad-spectrum beta-lactamase SHV-1	beta-lactam
blaTEM-122	1	0	1	1	1	1	0	0	1	NG_050166.1	BETA-LACTAM inhibitor-resistant class A broad-spectrum beta-lactamase TEM-122	beta-lactam
blaTEM-35	1	0	1	1	1	1	0	0	1	NG_050264.1	BETA-LACTAM inhibitor-resistant class A broad-spectrum beta-lactamase TEM-35	beta-lactam
blaKPC-2	1	0	1	1	1	1	0	0	1	NG_049253.1	CARBAPENEM carbapenem-hydrolyzing class A beta-lactamase KPC-2	beta-lactam
blaCTX-M-162	1	0	1	1	1	1	0	0	1	NG_048947.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-162	beta-lactam
blaCTX-M-24	1	0	1	1	1	1	0	0	0	NG_048973.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-24	beta-lactam
blaCTX-M-56	1	0	1	1	1	1	0	0	1	NG_049007.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-56	beta-lactam
blaKLUC-2	1	0	1	1	1	1	0	0	1	NG_049242.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase KLUC-2	beta-lactam
blaSHV-30	1	0	1	1	1	1	0	0	1	NG_050069.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase SHV-30	beta-lactam
blaTEM-155	1	0	1	1	1	1	0	0	1	NG_050199.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase TEM-155	beta-lactam
blaVEB-17	1	0	1	1	1	1	0	0	1	NG_050325.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase VEB-17	beta-lactam
blaVEB-5	1	0	1	1	1	1	0	0	1	NG_050329.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase VEB-5	beta-lactam
blaCMY-133	1	0	1	1	1	1	0	0	0	NG_048803.1	CEPHALOSPORIN class C beta-lactamase CMY-133	beta-lactam
blaCMY-138	1	0	1	1	1	1	0	0	1	NG_048806.1	CEPHALOSPORIN class C beta-lactamase CMY-138	beta-lactam
blaCMY-16	1	0	1	1	1	1	0	0	1	NG_048810.1	CEPHALOSPORIN class C beta-lactamase CMY-16	beta-lactam
blaCMY-18	1	0	1	1	1	1	0	0	1	NG_048812.1	CEPHALOSPORIN class C beta-lactamase CMY-18	beta-lactam
blaDHA-15	1	0	1	1	1	1	0	0	0	NG_049060.1	CEPHALOSPORIN class C beta-lactamase DHA-15	beta-lactam
mcr-2.1	1	0	1	1	1	1	0	0	0	NG_051171.1	COLISTIN phosphoethanolamine--lipid A transferase MCR-2.1	colistin
fosA_gen	1	0	1	1	1	1	0	0	1	NG_047882.1	FOSFOMYCIN FosA family fosfomycin resistance glutathione transferase	fosfomycin
fosA	1	0	1	1	1	1	0	0	1	NG_050405.1	FOSFOMYCIN fosfomycin resistance glutathione transferase FosA	fosfomycin
erm(C)	1	0	1	1	1	1	0	0	0	NG_047817.1	MACROLIDE 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(C)	macrolide
catA3	1	0	1	1	1	1	0	0	1	NG_052661.1	CHLORAMPHENICOL type A-3 chloramphenicol O-acetyltransferase CatIII	phenicol
catB11	1	0	1	1	1	1	0	0	0	NG_050948.1	CHLORAMPHENICOL type B-2 chloramphenicol O-acetyltransferase CatB11	phenicol
catB2	1	0	1	1	1	1	0	0	0	NG_047602.1	CHLORAMPHENICOL type B-2 chloramphenicol O-acetyltransferase CatB2	phenicol
oqxB2	1	0	1	1	1	1	0	0	1	NG_050438.1	PHENICOL;QUINOLONE multidrug efflux RND transporter permease subunit OqxB2	phenicol
qepA1	1	0	1	1	1	1	0	0	0	NG_050459.1	QUINOLONE fluoroquinolone efflux MFS transporter QepA1	quinolone
qepA4	1	0	1	1	1	1	0	0	1	NG_062240.1	QUINOLONE fluoroquinolone efflux MFS transporter QepA4	quinolone
qnrD3	1	0	1	1	1	1	0	0	1	NG_057448.1	QUINOLONE quinolone resistance pentapeptide repeat protein QnrD3	quinolone
qnrS11	1	0	1	1	1	1	0	0	1	NG_059318.1	QUINOLONE quinolone resistance pentapeptide repeat protein QnrS11	quinolone
qnrS4	1	0	1	1	1	1	0	0	1	NG_050545.1	QUINOLONE quinolone resistance pentapeptide repeat protein QnrS4	quinolone
qnrVC1	1	0	1	1	1	1	0	0	1	NG_050551.1	QUINOLONE quinolone resistance pentapeptide repeat protein QnrVC1	quinolone
tet(H)	1	0	1	1	1	1	0	0	1	NG_048193.1	TETRACYCLINE tetracycline efflux MFS transporter Tet(H)	tetracycline
dfrB1	1	0	1	1	1	1	0	0	0	NG_047743.1	TRIMETHOPRIM trimethoprim-resistant dihydrofolate reductase DfrB1	trimethoprim
dfrB4	1	0	1	1	1	1	0	0	1	NG_047749.1	TRIMETHOPRIM trimethoprim-resistant dihydrofolate reductase DfrB4	trimethoprim
aac(6')-Il	0	1	1	0	-1	1	-1	0	1	NG_047303.1	AMIKACIN;KANAMYCIN;TOBRAMYCIN aminoglycoside N-acetyltransferase AAC(6')-Il	aminoglycoside
aac(3)-Ic	0	1	1	0	-1	1	-1	0	1	NG_048568.1	GENTAMICIN aminoglycoside N-acetyltransferase AAC(3)-Ic	aminoglycoside
aadS	0	1	1	0	-1	1	-1	0	1	NG_047380.1	STREPTOMYCIN aminoglycoside 6-adenylyltransferase AadS	aminoglycoside
aadA3	0	1	1	0	-1	1	-1	0	1	NG_052490.1	STREPTOMYCIN ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3	aminoglycoside
blaEC	0	1	1	0	-1	1	-1	0	1	NG_047496.1	BETA-LACTAM BlaEC family class C beta-lactamase	beta-lactam
blaTEM-229	0	1	1	0	-1	1	-1	0	0	NG_056416.1	BETA-LACTAM class A beta-lactamase TEM-229	beta-lactam
blaVIM-2	0	1	1	0	-1	1	-1	0	1	NG_050347.1	CARBAPENEM subclass B1 metallo-beta-lactamase VIM-2	beta-lactam
blaEC-8	0	1	1	0	-1	1	-1	0	1	NG_049086.1	CEPHALOSPORIN cephalosporin-hydrolyzing class C beta-lactamase EC-8	beta-lactam
blaCTX-M-32	0	1	1	0	-1	1	-1	0	0	NG_048982.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase CTX-M-32	beta-lactam
blaTEM-169	0	1	1	0	-1	1	-1	0	0	NG_050212.1	CEPHALOSPORIN class A extended-spectrum beta-lactamase TEM-169	beta-lactam
blaDHA-16	0	1	1	0	-1	1	-1	0	1	NG_049061.1	CEPHALOSPORIN class C beta-lactamase DHA-16	beta-lactam
blaEC-15	0	1	1	0	-1	1	-1	0	1	NG_049081.1	CEPHALOSPORIN class C extended-spectrum beta-lactamase EC-15	beta-lactam
fosX	0	1	1	0	-1	1	-1	0	1	NG_047899.1	FOSFOMYCIN fosfomycin resistance thiol transferase FosX	fosfomycin
lmo0919_fam	0	1	1	0	-1	1	-1	0	1	NG_050599.1	LINCOSAMIDE lincomycin resistance ABC-F type ribosomal protection protein	lincosamide
lnu(C)	0	1	1	0	-1	1	-1	0	1	NG_047924.1	LINCOSAMIDE lincosamide nucleotidyltransferase Lnu(C)	lincosamide
tet(Q)	0	1	1	0	-1	1	-1	0	1	NG_048268.1	TETRACYCLINE tetracycline resistance ribosomal protection protein Tet(Q)	tetracycline
